name,return_code,note,output_dir,command
multi_horizon_baseline,1,Strong baseline. Confirms the current best latent-first regime.,/home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v3/mission_runs/multi_horizon_baseline,/home/irbsurfer/miniconda3/envs/helios-gpu-118/bin/python3 /home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v2/ashley_latent_rollout_replication_v2.py --seed 7 --n-train 128 --n-val 32 --n-test 32 --ae-epochs 6 --dyn-epochs 8 --batch-size 32 --outdir mission_runs/multi_horizon_baseline
single_horizon_ablation,0,Tests whether multi-horizon latent training is the key stabilizer.,/home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v3/mission_runs/single_horizon_ablation,/home/irbsurfer/miniconda3/envs/helios-gpu-118/bin/python3 /home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v2/ashley_latent_rollout_replication_v2.py --seed 7 --n-train 128 --n-val 32 --n-test 32 --ae-epochs 6 --dyn-epochs 8 --batch-size 32 --outdir mission_runs/single_horizon_ablation --single-horizon
crossover_reaction_diffusion_ld16_rl48,0,Searches for the regime where hybrid can become corrective rather than destructive.,/home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v3/mission_runs/crossover_reaction_diffusion_ld16_rl48,/home/irbsurfer/miniconda3/envs/helios-gpu-118/bin/python3 /home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v2/ashley_latent_rollout_replication_v2.py --seed 7 --n-train 128 --n-val 32 --n-test 32 --ae-epochs 6 --dyn-epochs 8 --batch-size 32 --outdir mission_runs/crossover_reaction_diffusion_ld16_rl48 --systems reaction_diffusion --latent-dim 16 --rollout-len 48
crossover_reaction_diffusion_ld16_rl64,0,Searches for the regime where hybrid can become corrective rather than destructive.,/home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v3/mission_runs/crossover_reaction_diffusion_ld16_rl64,/home/irbsurfer/miniconda3/envs/helios-gpu-118/bin/python3 /home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v2/ashley_latent_rollout_replication_v2.py --seed 7 --n-train 128 --n-val 32 --n-test 32 --ae-epochs 6 --dyn-epochs 8 --batch-size 32 --outdir mission_runs/crossover_reaction_diffusion_ld16_rl64 --systems reaction_diffusion --latent-dim 16 --rollout-len 64
crossover_reaction_diffusion_ld16_rl80,0,Searches for the regime where hybrid can become corrective rather than destructive.,/home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v3/mission_runs/crossover_reaction_diffusion_ld16_rl80,/home/irbsurfer/miniconda3/envs/helios-gpu-118/bin/python3 /home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v2/ashley_latent_rollout_replication_v2.py --seed 7 --n-train 128 --n-val 32 --n-test 32 --ae-epochs 6 --dyn-epochs 8 --batch-size 32 --outdir mission_runs/crossover_reaction_diffusion_ld16_rl80 --systems reaction_diffusion --latent-dim 16 --rollout-len 80
crossover_reaction_diffusion_ld24_rl48,0,Searches for the regime where hybrid can become corrective rather than destructive.,/home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v3/mission_runs/crossover_reaction_diffusion_ld24_rl48,/home/irbsurfer/miniconda3/envs/helios-gpu-118/bin/python3 /home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v2/ashley_latent_rollout_replication_v2.py --seed 7 --n-train 128 --n-val 32 --n-test 32 --ae-epochs 6 --dyn-epochs 8 --batch-size 32 --outdir mission_runs/crossover_reaction_diffusion_ld24_rl48 --systems reaction_diffusion --latent-dim 24 --rollout-len 48
crossover_reaction_diffusion_ld24_rl64,0,Searches for the regime where hybrid can become corrective rather than destructive.,/home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v3/mission_runs/crossover_reaction_diffusion_ld24_rl64,/home/irbsurfer/miniconda3/envs/helios-gpu-118/bin/python3 /home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v2/ashley_latent_rollout_replication_v2.py --seed 7 --n-train 128 --n-val 32 --n-test 32 --ae-epochs 6 --dyn-epochs 8 --batch-size 32 --outdir mission_runs/crossover_reaction_diffusion_ld24_rl64 --systems reaction_diffusion --latent-dim 24 --rollout-len 64
crossover_reaction_diffusion_ld24_rl80,0,Searches for the regime where hybrid can become corrective rather than destructive.,/home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v3/mission_runs/crossover_reaction_diffusion_ld24_rl80,/home/irbsurfer/miniconda3/envs/helios-gpu-118/bin/python3 /home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v2/ashley_latent_rollout_replication_v2.py --seed 7 --n-train 128 --n-val 32 --n-test 32 --ae-epochs 6 --dyn-epochs 8 --batch-size 32 --outdir mission_runs/crossover_reaction_diffusion_ld24_rl80 --systems reaction_diffusion --latent-dim 24 --rollout-len 80
crossover_reaction_diffusion_ld32_rl48,0,Searches for the regime where hybrid can become corrective rather than destructive.,/home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v3/mission_runs/crossover_reaction_diffusion_ld32_rl48,/home/irbsurfer/miniconda3/envs/helios-gpu-118/bin/python3 /home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v2/ashley_latent_rollout_replication_v2.py --seed 7 --n-train 128 --n-val 32 --n-test 32 --ae-epochs 6 --dyn-epochs 8 --batch-size 32 --outdir mission_runs/crossover_reaction_diffusion_ld32_rl48 --systems reaction_diffusion --latent-dim 32 --rollout-len 48
crossover_reaction_diffusion_ld32_rl64,0,Searches for the regime where hybrid can become corrective rather than destructive.,/home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v3/mission_runs/crossover_reaction_diffusion_ld32_rl64,/home/irbsurfer/miniconda3/envs/helios-gpu-118/bin/python3 /home/irbsurfer/Projects/arqon/ArqonMaestro/research/latent_rollout/v2/ashley_latent_rollout_replication_v2.py --seed 7 --n-train 128 --n-val 32 --n-test 32 --ae-epochs 6 --dyn-epochs 8 --batch-size 32 --outdir mission_runs/crossover_reaction_diffusion_ld32_rl64 --systems reaction_diffusion --latent-dim 32 --rollout-len 64
